id,category,prompt_type,starter,prompt
1,Category discovery,Neutral discovery,true,"What are the best [category] options for [target audience]?"
2,Category discovery,Neutral discovery,true,"Which [category] providers should a [buyer role] evaluate?"
3,Category discovery,Neutral discovery,false,"What are the leading [category] products in [market or region]?"
4,Category discovery,Neutral discovery,false,"Which companies are known for [core outcome]?"
5,Category discovery,Neutral discovery,true,"What tools help [target audience] solve [problem]?"
6,Category discovery,Neutral discovery,false,"What is the best way to achieve [outcome] without [undesired tradeoff]?"
7,Category discovery,Neutral discovery,false,"Which [category] vendors specialize in [industry]?"
8,Category discovery,Neutral discovery,false,"What are reliable alternatives for solving [problem]?"
9,Category discovery,Neutral discovery,true,"Which [category] products are best for a team of [company size]?"
10,Category discovery,Neutral discovery,false,"What should I use to replace a manual [workflow] process?"
11,Category discovery,Neutral discovery,false,"Which platforms combine [capability one] and [capability two]?"
12,Category discovery,Neutral discovery,false,"What are the most established companies in [category]?"
13,Category discovery,Neutral discovery,false,"Which newer [category] products are worth considering?"
14,Category discovery,Neutral discovery,false,"What [category] tools are designed for [specific role]?"
15,Category discovery,Neutral discovery,false,"Which providers offer [category] for [regulated or specialized industry]?"
16,Category discovery,Neutral discovery,false,"What are the best [category] services for a limited budget?"
17,Category discovery,Neutral discovery,false,"Which [category] products work well for distributed teams?"
18,Category discovery,Neutral discovery,false,"What are the top [category] options for organizations in [region]?"
19,Category discovery,Neutral discovery,false,"Which vendors are strongest at [specific capability]?"
20,Category discovery,Neutral discovery,true,"What should be on a shortlist for [category] software?"
21,Use-case and constraint fit,Neutral discovery,true,"Which [category] is best for [use case]?"
22,Use-case and constraint fit,Neutral discovery,false,"What [category] works with [required integration or platform]?"
23,Use-case and constraint fit,Neutral discovery,true,"Which provider supports [critical requirement]?"
24,Use-case and constraint fit,Neutral discovery,false,"What is the easiest [category] product for a small team to adopt?"
25,Use-case and constraint fit,Neutral discovery,false,"Which [category] has the shortest implementation time?"
26,Use-case and constraint fit,Neutral discovery,false,"What [category] offers transparent pricing without an annual contract?"
27,Use-case and constraint fit,Neutral discovery,false,"Which [category] is suitable for [company size] with [constraint]?"
28,Use-case and constraint fit,Neutral discovery,true,"What is the best [category] for a [buyer role] who needs [outcome]?"
29,Use-case and constraint fit,Neutral discovery,false,"Which solution can handle [volume or scale requirement]?"
30,Use-case and constraint fit,Neutral discovery,false,"What [category] is appropriate when [risk or compliance constraint]?"
31,Use-case and constraint fit,Neutral discovery,false,"Which providers support both [use case one] and [use case two]?"
32,Use-case and constraint fit,Neutral discovery,false,"What [category] requires the least technical setup?"
33,Use-case and constraint fit,Neutral discovery,true,"Which solution gives the clearest evidence for [decision or report]?"
34,Use-case and constraint fit,Neutral discovery,false,"What [category] works for teams without a dedicated [specialist role]?"
35,Use-case and constraint fit,Neutral discovery,false,"Which provider is best when [existing approach] is no longer sufficient?"
36,Use-case and constraint fit,Neutral discovery,false,"What is a practical [category] option for a first-time buyer?"
37,Use-case and constraint fit,Neutral discovery,false,"Which [category] can be purchased without a sales call?"
38,Use-case and constraint fit,Neutral discovery,false,"What [category] is best for agencies managing multiple clients?"
39,Use-case and constraint fit,Neutral discovery,true,"Which solution supports repeatable before-and-after comparisons?"
40,Use-case and constraint fit,Neutral discovery,false,"What [category] offers useful results without a subscription?"
41,Comparisons and alternatives,Neutral discovery,true,"What are the best alternatives to [competitor]?"
42,Comparisons and alternatives,Neutral discovery,false,"Which products compete most directly with [competitor]?"
43,Comparisons and alternatives,Neutral discovery,false,"What is a simpler alternative to [competitor]?"
44,Comparisons and alternatives,Neutral discovery,false,"What is a more affordable alternative to [competitor]?"
45,Comparisons and alternatives,Neutral discovery,false,"Which [category] tools do not require a subscription?"
46,Comparisons and alternatives,Neutral discovery,true,"How do the leading [category] platforms differ?"
47,Comparisons and alternatives,Neutral discovery,false,"Which [category] is best for [audience A] versus [audience B]?"
48,Comparisons and alternatives,Neutral discovery,false,"What should I compare before choosing a [category] provider?"
49,Comparisons and alternatives,Neutral discovery,true,"Which [category] vendors publish the clearest methodology?"
50,Comparisons and alternatives,Neutral discovery,false,"Which tools provide raw evidence behind their [metric or result]?"
51,Comparisons and alternatives,Neutral discovery,false,"What [category] is best for one-time audits instead of ongoing monitoring?"
52,Comparisons and alternatives,Neutral discovery,false,"Which [category] is best for ongoing monitoring instead of a one-time benchmark?"
53,Comparisons and alternatives,Neutral discovery,true,"Which providers offer both downloadable reports and underlying data?"
54,Comparisons and alternatives,Neutral discovery,false,"What are the tradeoffs between [approach one] and [approach two]?"
55,Comparisons and alternatives,Neutral discovery,false,"Which [category] products are best for consultants?"
56,Comparisons and alternatives,Neutral discovery,false,"Which [category] products are best for in-house teams?"
57,Comparisons and alternatives,Neutral discovery,false,"What are the most credible [category] tools for [industry]?"
58,Comparisons and alternatives,Neutral discovery,false,"Which providers make it easiest to reproduce their results?"
59,Comparisons and alternatives,Neutral discovery,false,"What alternatives to [competitor] support [required provider or channel]?"
60,Comparisons and alternatives,Neutral discovery,true,"Which [category] tools are transparent about sampling limitations?"
61,Risk proof and buying confidence,Neutral discovery,true,"Which [category] providers are considered reliable?"
62,Risk proof and buying confidence,Neutral discovery,false,"What evidence should I ask for before buying [category]?"
63,Risk proof and buying confidence,Neutral discovery,false,"How can I verify a [category] vendor's claims?"
64,Risk proof and buying confidence,Neutral discovery,true,"Which [category] products explain how their scores are calculated?"
65,Risk proof and buying confidence,Neutral discovery,false,"What are the limitations of [category] tools?"
66,Risk proof and buying confidence,Neutral discovery,false,"How accurate are [category] measurements?"
67,Risk proof and buying confidence,Neutral discovery,false,"What can cause two [category] tools to report different results?"
68,Risk proof and buying confidence,Neutral discovery,true,"Which providers preserve the evidence behind each result?"
69,Risk proof and buying confidence,Neutral discovery,false,"What privacy risks should I consider when using [category]?"
70,Risk proof and buying confidence,Neutral discovery,false,"Which [category] tools minimize retention of sensitive data?"
71,Risk proof and buying confidence,Neutral discovery,false,"What questions should I ask during a [category] product demo?"
72,Risk proof and buying confidence,Neutral discovery,false,"How should I evaluate [category] software for [regulated industry]?"
73,Risk proof and buying confidence,Neutral discovery,true,"Which [category] vendors publish a public methodology?"
74,Risk proof and buying confidence,Neutral discovery,false,"What does a credible [category] sample report include?"
75,Risk proof and buying confidence,Neutral discovery,false,"Which providers disclose coverage failed tests and missing data?"
76,Risk proof and buying confidence,Neutral discovery,false,"How often should a [category] benchmark be rerun?"
77,Risk proof and buying confidence,Neutral discovery,false,"What sample size is useful for a directional [category] benchmark?"
78,Risk proof and buying confidence,Neutral discovery,false,"How can I tell whether a [category] improvement is real or noise?"
79,Risk proof and buying confidence,Neutral discovery,true,"Which [category] metrics are useful for executive reporting?"
80,Risk proof and buying confidence,Neutral discovery,false,"What should not be inferred from a single [category] score?"
81,Brand-named diagnostics,Brand diagnostic,true,"What is [brand] and what does it do?"
82,Brand-named diagnostics,Brand diagnostic,false,"Who is [brand] designed for?"
83,Brand-named diagnostics,Brand diagnostic,false,"What problem does [brand] solve?"
84,Brand-named diagnostics,Brand diagnostic,false,"What are [brand]'s main features?"
85,Brand-named diagnostics,Brand diagnostic,false,"What is [brand] best known for?"
86,Brand-named diagnostics,Brand diagnostic,true,"What are the strengths and limitations of [brand]?"
87,Brand-named diagnostics,Brand diagnostic,true,"How does [brand] compare with [competitor]?"
88,Brand-named diagnostics,Brand diagnostic,false,"What are the best alternatives to [brand]?"
89,Brand-named diagnostics,Brand diagnostic,false,"How much does [brand] cost?"
90,Brand-named diagnostics,Brand diagnostic,false,"Does [brand] require a subscription?"
91,Brand-named diagnostics,Brand diagnostic,false,"Is [brand] suitable for [target audience]?"
92,Brand-named diagnostics,Brand diagnostic,false,"Does [brand] support [critical requirement]?"
93,Brand-named diagnostics,Brand diagnostic,true,"What evidence does [brand] provide for its results?"
94,Brand-named diagnostics,Brand diagnostic,false,"Is [brand]'s methodology public?"
95,Brand-named diagnostics,Brand diagnostic,false,"How does [brand] handle customer data?"
96,Brand-named diagnostics,Brand diagnostic,false,"What do reviewers say about [brand]?"
97,Brand-named diagnostics,Brand diagnostic,false,"What should a buyer know before choosing [brand]?"
98,Brand-named diagnostics,Brand diagnostic,false,"When is [brand] a better fit than [competitor]?"
99,Brand-named diagnostics,Brand diagnostic,false,"When is [competitor] a better fit than [brand]?"
100,Brand-named diagnostics,Brand diagnostic,true,"Is the information available about [brand] current and consistent?"
