cluster,query,page,period_start,period_end,country,device,clicks,impressions,ctr,average_position,organic_sessions,checkout_starts,audits_purchased,purchases_per_organic_session,notes
commercial-benchmark,,/,,,,,,,,,,,,,
commercial-benchmark,,/ai-visibility-audit,,,,,,,,,,,,,
commercial-benchmark,,/ai-search-visibility-tool,,,,,,,,,,,,,
commercial-benchmark,,/chatgpt-seo-tool,,,,,,,,,,,,,
optimization-frameworks,,/ai-search-optimization,,,,,,,,,,,,,
optimization-frameworks,,/answer-engine-optimization,,,,,,,,,,,,,
optimization-frameworks,,/generative-engine-optimization,,,,,,,,,,,,,
optimization-frameworks,,/llm-seo,,,,,,,,,,,,,
optimization-frameworks,,/ai-visibility,,,,,,,,,,,,,
tool-selection,,/ai-seo-tools,,,,,,,,,,,,,
tool-selection,,/ai-visibility-tools,,,,,,,,,,,,,
tool-selection,,/answer-engine-optimization-tools,,,,,,,,,,,,,
comparison,,/aeo-vs-geo,,,,,,,,,,,,,
