"rank","brand","claimed_domain","eligibility_source","eligible_answers","mention_count","discovery_visibility","lead_count","shortlist_count","incidental_count","prominence_score","claimed_domain_citation_count","citation_presence"
"1","Peec AI","peec.ai","https://peec.ai/product/ai-visibility","80","6","0.0750","2","4","0","0.0585","2","0.0250"
"2","Semrush","semrush.com","https://www.semrush.com/solutions/ai-visibility/","80","5","0.0625","5","0","0","0.0625","0","0.0000"
"3","Otterly.AI","otterly.ai","https://otterly.ai/","80","5","0.0625","3","2","0","0.0542","0","0.0000"
"4","Profound","tryprofound.com","https://www.tryprofound.com/features/answer-engine-insights","80","5","0.0625","0","5","0","0.0419","0","0.0000"
"5","100 Questions","100questionsai.com","https://100questionsai.com/methodology","80","4","0.0500","4","0","0","0.0500","4","0.0500"
"6","AthenaHQ","athenahq.ai","https://www.athenahq.ai/","80","3","0.0375","0","3","0","0.0251","3","0.0375"
"7","Analyze AI","tryanalyze.ai","https://www.tryanalyze.ai/","80","2","0.0250","2","0","0","0.0250","2","0.0250"
"8","Ahrefs Brand Radar","ahrefs.com","https://ahrefs.com/brand-radar","80","0","0.0000","0","0","0","0.0000","3","0.0375"
"9","Adobe LLM Optimizer","adobe.com","https://business.adobe.com/products/llm-optimizer.html","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","AI Clicks","aiclicks.io","https://aiclicks.io/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","AirOps","airops.com","https://www.airops.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Conductor","conductor.com","https://www.conductor.com/platform/features/ai-search-performance/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Frase","frase.io","https://www.frase.io/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Geoptie","geoptie.com","https://geoptie.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Goodie AI","higoodie.com","https://higoodie.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","GrowthOS","usegrowthos.com","https://www.usegrowthos.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Limy AI","limy.ai","https://limy.ai/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","LLMrefs","llmrefs.com","https://llmrefs.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Nightwatch","nightwatch.io","https://nightwatch.io/ai-tracking","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Rankability","rankability.com","https://www.rankability.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Scrunch AI","scrunchai.com","https://scrunchai.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","SE Ranking","seranking.com","https://visible.seranking.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Similarweb","similarweb.com","https://aisearch.similarweb.com/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","TrySight","trysight.ai","https://www.trysight.ai/","80","0","0.0000","0","0","0","0.0000","0","0.0000"
"9","Writesonic","writesonic.com","https://writesonic.com/generative-engine-optimization-geo","80","0","0.0000","0","0","0","0.0000","0","0.0000"
