"brand","aliases","claimed_domain","eligibility_source","match_policy"
"100 Questions","100 Questions|100QuestionsAI","100questionsai.com","https://100questionsai.com/methodology","case_insensitive_exact_alias"
"Ahrefs Brand Radar","Ahrefs Brand Radar|Brand Radar","ahrefs.com","https://ahrefs.com/brand-radar","case_insensitive_exact_alias"
"Semrush","Semrush AI Visibility Toolkit|Semrush One|Semrush","semrush.com","https://www.semrush.com/solutions/ai-visibility/","case_insensitive_exact_alias"
"Profound","Profound","tryprofound.com","https://www.tryprofound.com/features/answer-engine-insights","case_sensitive_exact_alias"
"Otterly.AI","Otterly.AI|Otterly AI|Otterly","otterly.ai","https://otterly.ai/","case_insensitive_exact_alias"
"Peec AI","Peec AI|Peec","peec.ai","https://peec.ai/product/ai-visibility","case_insensitive_exact_alias"
"Scrunch AI","Scrunch AI|Scrunch","scrunchai.com","https://scrunchai.com/","case_insensitive_exact_alias"
"Goodie AI","Goodie AI|Goodie","higoodie.com","https://higoodie.com/","case_insensitive_exact_alias"
"AthenaHQ","AthenaHQ|Athena HQ","athenahq.ai","https://www.athenahq.ai/","case_insensitive_exact_alias"
"Writesonic","Writesonic GEO|Writesonic","writesonic.com","https://writesonic.com/generative-engine-optimization-geo","case_insensitive_exact_alias"
"Frase","Frase AI Visibility|Frase","frase.io","https://www.frase.io/","case_sensitive_exact_alias"
"SE Ranking","SE Visible|SE Ranking Visible|Visible by SE Ranking|SE Ranking","seranking.com","https://visible.seranking.com/","case_insensitive_exact_alias"
"Conductor","Conductor AI Search Performance|Conductor","conductor.com","https://www.conductor.com/platform/features/ai-search-performance/","case_sensitive_exact_alias"
"AirOps","AirOps","airops.com","https://www.airops.com/","case_sensitive_exact_alias"
"Nightwatch","Nightwatch AI Tracking|Nightwatch","nightwatch.io","https://nightwatch.io/ai-tracking","case_insensitive_exact_alias"
"Rankability","Rankability AI Analyzer|Rankability","rankability.com","https://www.rankability.com/","case_insensitive_exact_alias"
"TrySight","TrySight|Sight AI","trysight.ai","https://www.trysight.ai/","case_insensitive_exact_alias"
"AI Clicks","AI Clicks|AIClicks","aiclicks.io","https://aiclicks.io/","case_insensitive_exact_alias"
"Geoptie","Geoptie","geoptie.com","https://geoptie.com/","case_insensitive_exact_alias"
"Analyze AI","Analyze AI|TryAnalyze","tryanalyze.ai","https://www.tryanalyze.ai/","case_insensitive_exact_alias"
"LLMrefs","LLMrefs|LLM Refs","llmrefs.com","https://llmrefs.com/","case_insensitive_exact_alias"
"GrowthOS","GrowthOS|Growth OS","usegrowthos.com","https://www.usegrowthos.com/","case_insensitive_exact_alias"
"Limy AI","Limy AI|Limy","limy.ai","https://limy.ai/","case_insensitive_exact_alias"
"Similarweb","Similarweb AI Brand Visibility|Similarweb","similarweb.com","https://aisearch.similarweb.com/","case_insensitive_exact_alias"
"Adobe LLM Optimizer","Adobe LLM Optimizer|LLM Optimizer","adobe.com","https://business.adobe.com/products/llm-optimizer.html","case_insensitive_exact_alias"
