"question_id","cohort","question_text","used_for_ranking","notes"
"D01","discovery","What are the best tools for measuring whether a brand appears in AI-generated answers?","yes","Neutral category discovery question"
"D02","discovery","Which tools track brand mentions across ChatGPT, Claude, Gemini, and Grok?","yes","Neutral provider-coverage question"
"D03","discovery","How can a company measure its share of voice in AI search?","yes","Neutral measurement question"
"D04","discovery","What software shows which sources AI assistants cite about a brand?","yes","Neutral citation-analysis question"
"D05","discovery","What are the best AI visibility tools for a small marketing team?","yes","Neutral small-team fit question"
"D06","discovery","Which AI search monitoring tools are suitable for agencies managing multiple clients?","yes","Neutral agency fit question"
"D07","discovery","How do AI visibility platforms compare with traditional rank trackers?","yes","Neutral category comparison question"
"D08","discovery","What tools can benchmark a brand before and after GEO work?","yes","Neutral rerun question"
"D09","discovery","Which platforms preserve the underlying AI answers and citations for review?","yes","Neutral evidence question"
"D10","discovery","What is the most affordable way to audit AI visibility without a subscription?","yes","Neutral pricing-model question"
"D11","discovery","Which tools measure brand prominence, not just whether a brand was mentioned?","yes","Neutral prominence question"
"D12","discovery","What software compares brand visibility across multiple AI providers?","yes","Neutral multi-provider question"
"D13","discovery","How can I find competitors that AI assistants recommend instead of my brand?","yes","Neutral competitor-analysis question"
"D14","discovery","Which AEO tools include source or citation analysis?","yes","Neutral AEO feature question"
"D15","discovery","What tools help diagnose why a brand is missing from AI-generated answers?","yes","Neutral diagnostic workflow question"
"D16","discovery","Which GEO platforms support downloadable reports or CSV exports?","yes","Neutral export question"
"D17","discovery","What is a good AI visibility tool for a one-time client audit?","yes","Neutral one-time audit question"
"D18","discovery","Which AI visibility tools use repeatable or frozen question sets?","yes","Neutral repeatability question"
"D19","discovery","How should an enterprise monitor brand visibility in answer engines?","yes","Neutral enterprise fit question"
"D20","discovery","What should I look for when choosing an AI visibility platform?","yes","Neutral buying-criteria question"
"T01","diagnostic_template","How does [brand] measure visibility in AI-generated answers?","no","Brand-named qualitative template"
"T02","diagnostic_template","Which AI providers does [brand] cover?","no","Brand-named qualitative template"
"T03","diagnostic_template","Does [brand] retain the answers and citations behind its metrics?","no","Brand-named qualitative template"
"T04","diagnostic_template","How much does [brand] cost, and does it require a subscription?","no","Brand-named qualitative template"
"T05","diagnostic_template","What are the main limitations of [brand] for AI visibility measurement?","no","Brand-named qualitative template"
