"field","type","definition","denominator_or_allowed_values"
"study_version","string","Frozen version identifier for the public study","Published with the results release"
"collection_timestamp","ISO 8601 datetime","Timestamp for the provider answer collection","UTC"
"provider","string","Provider whose API returned the answer","OpenAI; Anthropic; Google; xAI"
"model_id","string","Exact provider and model identifier used for collection","Frozen before collection"
"question_id","string","Identifier from the registered question set","D01-D20; T01-T05"
"cohort","string","Whether the prompt is used for discovery ranking or qualitative diagnosis","discovery; diagnostic_template"
"eligible","boolean","Whether the provider call succeeded and returned valid web sources","true; false"
"exclusion_reason","string","Reason an answer was excluded from score-eligible denominators","Blank when eligible"
"brand","string","Canonical cohort brand matched in the answer","Frozen cohort name"
"brand_mentioned","boolean","Whether the canonical brand or an approved alias appeared in the answer","true; false"
"prominence","string","Placement of the brand in an eligible discovery answer","lead; shortlist; incidental; absent"
"claimed_domain_cited","boolean","Whether the answer cited the cohort brand's claimed domain or a subdomain","true; false"
"source_domain","string","Normalized registrable domain cited by the answer","One row per answer-domain pair in source export"
"discovery_visibility","ratio","Eligible discovery answers mentioning the brand divided by eligible discovery answers","mentioned eligible discovery answers / eligible discovery answers"
"prominence_score","number","Mean placement score across eligible discovery answers","lead=1; shortlist=0.67; incidental=0.33; absent=0"
"provider_coverage","ratio","Eligible answers divided by planned answers","eligible answers / planned answers"
"citation_presence","ratio","Eligible answers citing the brand's claimed domain divided by eligible answers","claimed-domain-cited eligible answers / eligible answers"
