"Priority","Tier","Publisher","Article title","Article URL","Source query","US position","Ahrefs DR","Estimated page traffic","Contact route","Preferred 100 Questions asset","Pitch angle","Status","Owner","Last contacted","Follow-up date","Response","Placement URL"
"1","1","Zapier","The 8 best AI visibility tools","https://zapier.com/blog/best-ai-visibility-tool/","AI visibility tools","4","91","6534","Best Apps editorial evaluation process","https://100questionsai.com/sample-report","Offer a review credit and the evidence-linked frozen benchmark as a distinct workflow; respect the publisher's hands-on testing policy.","Draft only","","","","",""
"2","1","TechnologyAdvice","Best AEO tools","https://technologyadvice.com/blog/sales/best-aeo-tools/","AEO tools","2","79","1066","Article author or editorial contact","https://100questionsai.com/answer-engine-optimization-tools","Suggest evaluation as a fixed multi-provider benchmark, supported by public methodology and sample output.","Draft only","","","","",""
"3","1","Backlinko","5 AI Visibility Tools","https://backlinko.com/llm-tracking-tools","AI visibility tools","11","90","314","Article author or editorial contact","https://100questionsai.com/methodology","Offer transparent definitions, evidence rules, and limitations as evaluation criteria for the concise roundup.","Draft only","","","","",""
"4","1","Search Engine Journal","LLM Visibility Tools: Do SEOs Agree On How To Use Them?","https://www.searchenginejournal.com/llm-visibility-tools-do-seos-agree-on-how-to-use-them/550267/","LLM SEO tools","8","91","67","Article author or editorial contact","https://100questionsai.com/methodology","Contribute a documented fixed-baseline measurement model to the practitioner discussion.","Draft only","","","","",""
"5","1","SitePoint","Best Generative Engine Optimization Tools","https://www.sitepoint.com/best-generative-engine-optimization-tools/","Generative engine optimization tools","9","86","137","Article author or editorial contact","https://100questionsai.com/sample-report","Offer hands-on access and a complete sample so the product can be judged using the page's criteria.","Draft only","","","","",""
"6","1","Traffic Think Tank","Best AI Visibility Tools","https://trafficthinktank.com/best-ai-visibility-tools/","Generative engine optimization tools","6","70","530","Article author or community editorial contact","https://100questionsai.com/methodology","Pitch the frozen-question design and evidence retention to an expert SEO audience.","Draft only","","","","",""
"7","1","Marketermilk","The Best AI Monitoring Tools","https://www.marketermilk.com/blog/best-ai-monitoring-tools","AI visibility tools","5","67","814","Article author or site contact form","https://100questionsai.com/sample-report","Clarify the difference between recurring monitoring and a fixed evidence-linked benchmark; offer review access.","Draft only","","","","",""
"8","1","Alex Birkett","Generative Engine Optimization Software","https://alexbirkett.com/generative-engine-optimization-software/","Generative engine optimization tools","18","68","8","Author contact route","https://100questionsai.com/methodology","Use a practitioner-to-practitioner methodology pitch with explicit limitations and sample evidence.","Draft only","","","","",""
"9","1","AnswerSocrates","Best Generative Search Optimization Tools","https://blog.answersocrates.com/best-generative-search-optimization-tools/","Generative engine optimization tools","19","63","88","Article author or site contact","https://100questionsai.com/ai-visibility-audit-checklist","Offer the free checklist and CSV as a practical resource for readers researching questions and GEO tools.","Draft only","","","","",""
"10","1","Contently","Top 10 Tools for Generative Engine Optimization","https://contently.com/2025/05/25/top-10-tools-for-generative-engine-optimization-in-2025/","Generative engine optimization tools","17","83","10","Editorial contact","https://100questionsai.com/ai-seo-tools","Suggest the fixed-benchmark category and transparent methodology for content-marketing teams.","Draft only","","","","",""
"11","2","WP Engine","Top AI Visibility Tracking Tools","https://wpengine.com/blog/ai-visibility-tracking-tools/","AI visibility tools","7","93","2076","Article author or editorial contact","https://100questionsai.com/ai-visibility-audit-checklist","Offer a free technical and content audit resource that complements the tool roundup for site owners.","Draft only","","","","",""
