"rank","domain","cited_answer_count","cited_answer_share"
"1","trakkr.ai","10","0.1250"
"2","demandsphere.com","8","0.1000"
"3","astiva.ai","7","0.0875"
"4","viali.ai","7","0.0875"
"5","github.com","6","0.0750"
"6","brandpeek.ai","5","0.0625"
"7","llmpulse.ai","5","0.0625"
"8","100questionsai.com","4","0.0500"
"9","aeoengine.ai","4","0.0500"
"10","brand24.com","4","0.0500"
"11","geolikeapro.com","4","0.0500"
"12","ionova.ai","4","0.0500"
"13","layzr.ai","4","0.0500"
"14","loudmink.ai","4","0.0500"
"15","meev.ai","4","0.0500"
"16","optiseo.ai","4","0.0500"
"17","rankprompt.com","4","0.0500"
"18","rankscope.ai","4","0.0500"
"19","surferstack.com","4","0.0500"
"20","trylumos.ai","4","0.0500"
"21","ultrascout.ai","4","0.0500"
"22","ahrefs.com","3","0.0375"
"23","aipeekaboo.com","3","0.0375"
"24","aivyuh.com","3","0.0375"
"25","athenahq.ai","3","0.0375"
"26","auditae.app","3","0.0375"
"27","blogarama.com","3","0.0375"
"28","brandarmor.ai","3","0.0375"
"29","convrgent.ai","3","0.0375"
"30","einpresswire.com","3","0.0375"
"31","foglift.io","3","0.0375"
"32","isvisible.ai","3","0.0375"
"33","jujugeo.com","3","0.0375"
"34","linksii.com","3","0.0375"
"35","maximuslabs.ai","3","0.0375"
"36","mentionsapi.com","3","0.0375"
"37","nextgeniq.io","3","0.0375"
"38","orbilo.co","3","0.0375"
"39","presenc.ai","3","0.0375"
"40","prominenceai.io","3","0.0375"
"41","serpapi.com","3","0.0375"
"42","siftly.ai","3","0.0375"
"43","sigmaeo.com","3","0.0375"
"44","solcrys.com","3","0.0375"
"45","targetlytics.com","3","0.0375"
"46","topify.ai","3","0.0375"
"47","trackingllm.com","3","0.0375"
"48","visibilitypulse.online","3","0.0375"
"49","visibly.so","3","0.0375"
"50","aeocrawler.com","2","0.0250"
"51","aergos.ai","2","0.0250"
"52","akii.com","2","0.0250"
"53","allmo.ai","2","0.0250"
"54","amivisible.co","2","0.0250"
"55","answervisibilitylab.com","2","0.0250"
"56","apexgeo.app","2","0.0250"
"57","authorityseo.com","2","0.0250"
"58","baselinelabs.ai","2","0.0250"
"59","citadex.io","2","0.0250"
"60","citare.ai","2","0.0250"
"61","clearrank.io","2","0.0250"
"62","dageno.ai","2","0.0250"
"63","darnitseo.com","2","0.0250"
"64","evidentlyaeo.com","2","0.0250"
"65","explodingtopics.com","2","0.0250"
"66","finseo.ai","2","0.0250"
"67","geolytic.ai","2","0.0250"
"68","geoscore.app","2","0.0250"
"69","gptranktracker.com","2","0.0250"
"70","gracker.ai","2","0.0250"
"71","honeyb.ai","2","0.0250"
"72","indexor.ai","2","0.0250"
"73","linkstonic.com","2","0.0250"
"74","monitoraeo.com","2","0.0250"
"75","nih.gov","2","0.0250"
"76","ninar.ai","2","0.0250"
"77","omniseo.com","2","0.0250"
"78","peec.ai","2","0.0250"
"79","prlmnt.ai","2","0.0250"
"80","rankr.so","2","0.0250"
"81","ranqo.ai","2","0.0250"
"82","search-visibility.ai","2","0.0250"
"83","searchable.com","2","0.0250"
"84","searchless.ai","2","0.0250"
"85","searchseal.com","2","0.0250"
"86","seerly.app","2","0.0250"
"87","sitetest.ai","2","0.0250"
"88","sophyx.io","2","0.0250"
"89","surva.ai","2","0.0250"
"90","tracemetry.com","2","0.0250"
"91","tryanalyze.ai","2","0.0250"
"92","turboaudit.ai","2","0.0250"
"93","usecortex.co","2","0.0250"
"94","visiblee.ai","2","0.0250"
"95","accuranker.com","1","0.0125"
"96","accuroai.co","1","0.0125"
"97","adaptivesecurity.com","1","0.0125"
"98","aeogodmode.io","1","0.0125"
"99","aetrixhq.com","1","0.0125"
"100","agenxus.com","1","0.0125"
"101","ai-search-tools.com","1","0.0125"
"102","aibrandtrack.com","1","0.0125"
"103","airanklab.com","1","0.0125"
"104","airia.com","1","0.0125"
"105","aiseolytics.com","1","0.0125"
"106","alexandrya.ai","1","0.0125"
"107","alexbirkett.com","1","0.0125"
"108","alliai.com","1","0.0125"
"109","analyticalinsider.ai","1","0.0125"
"110","analytics-agent.app","1","0.0125"
"111","atellier.ai","1","0.0125"
"112","atlasworkspace.ai","1","0.0125"
"113","bluejar.ai","1","0.0125"
"114","bonemeal.ai","1","0.0125"
"115","brandbeacon.ai","1","0.0125"
"116","branddetect.ai","1","0.0125"
"117","brandgeo.co","1","0.0125"
"118","brandlight.ai","1","0.0125"
"119","brandoptics.ai","1","0.0125"
"120","brandviz.ai","1","0.0125"
"121","capston.ai","1","0.0125"
"122","citability.dev","1","0.0125"
"123","citany.com","1","0.0125"
"124","citationlabs.com","1","0.0125"
"125","citationradar.ai","1","0.0125"
"126","citementor.ai","1","0.0125"
"127","citevera.com","1","0.0125"
"128","cloudybot.ai","1","0.0125"
"129","cognizo.ai","1","0.0125"
"130","crawlly.ai","1","0.0125"
"131","crawlsense.ai","1","0.0125"
"132","dabud.ai","1","0.0125"
"133","destaca.ai","1","0.0125"
"134","detectabli.com","1","0.0125"
"135","eastbound.ai","1","0.0125"
"136","epa.gov","1","0.0125"
"137","eyeq.ai","1","0.0125"
"138","fibr.ai","1","0.0125"
"139","frictionai.co","1","0.0125"
"140","genalphai.com","1","0.0125"
"141","genrank.co","1","0.0125"
"142","geochecktool.com","1","0.0125"
"143","geoly.ai","1","0.0125"
"144","georank.site","1","0.0125"
"145","georankers.co","1","0.0125"
"146","georeport.gitbook.io","1","0.0125"
"147","geotab.com","1","0.0125"
"148","geotoolbox.ai","1","0.0125"
"149","get-ryze.ai","1","0.0125"
"150","getgeoscan.ai","1","0.0125"
"151","getlumeai.com","1","0.0125"
"152","getsidenote.app","1","0.0125"
"153","getspotted.ai","1","0.0125"
"154","getvisibai.com","1","0.0125"
"155","gooddata.com","1","0.0125"
"156","gumshoe.ai","1","0.0125"
"157","hackernoon.com","1","0.0125"
"158","invariantdb.com","1","0.0125"
"159","isogeo.com","1","0.0125"
"160","joinmassive.com","1","0.0125"
"161","keyword.com","1","0.0125"
"162","knitknot.ai","1","0.0125"
"163","knowatoa.com","1","0.0125"
"164","knowledgestack.ai","1","0.0125"
"165","lynxaudit.com","1","0.0125"
"166","mention.network","1","0.0125"
"167","mentionary.ai","1","0.0125"
"168","metasculpt.ai","1","0.0125"
"169","metricusapp.com","1","0.0125"
"170","modulos.ai","1","0.0125"
"171","naridon.com","1","0.0125"
"172","netranks.ai","1","0.0125"
"173","okara.ai","1","0.0125"
"174","on-metrics.com","1","0.0125"
"175","onlinelabs.io","1","0.0125"
"176","openkit.ai","1","0.0125"
"177","optimizely.com","1","0.0125"
"178","orchstack.ai","1","0.0125"
"179","pallix.in","1","0.0125"
"180","peekai.us","1","0.0125"
"181","perceptiq.io","1","0.0125"
"182","pienomial.com","1","0.0125"
"183","pierview.ai","1","0.0125"
"184","pinecone.io","1","0.0125"
"185","proranktracker.com","1","0.0125"
"186","pulsarplatform.com","1","0.0125"
"187","quaro.io","1","0.0125"
"188","radarkit.ai","1","0.0125"
"189","rankabove.ai","1","0.0125"
"190","rankeo.io","1","0.0125"
"191","rankscale.ai","1","0.0125"
"192","rankture.com","1","0.0125"
"193","researchgate.net","1","0.0125"
"194","runtruffle.com","1","0.0125"
"195","searchengineintellect.com","1","0.0125"
"196","searchintel.tech","1","0.0125"
"197","semly.ai","1","0.0125"
"198","signalscanner.io","1","0.0125"
"199","superlines.io","1","0.0125"
"200","sureciteai.com","1","0.0125"
"201","swingintel.com","1","0.0125"
"202","techtarget.com","1","0.0125"
"203","trajectory.cc","1","0.0125"
"204","tryreadable.ai","1","0.0125"
"205","visibilitykit.ai","1","0.0125"
"206","wellows.com","1","0.0125"
"207","whatseo.ai","1","0.0125"
"208","withgauge.com","1","0.0125"
"209","writer.com","1","0.0125"
"210","zeoradar.com","1","0.0125"
