Phase,Checklist item,Status,Evidence or notes
Define the audit,"Record the brand name, canonical domain, category, market, and locale.",,
Define the audit,"List known aliases and the competitors you want to compare.",,
Define the audit,"Save the audit date, providers, model identifiers, and question set.",,
Define the audit,"Separate neutral discovery questions from brand-named diagnostic questions.",,
Check technical access,"Verify indexability, canonical URLs, XML sitemaps, and internal links.",,
Check technical access,"Confirm important content is present in rendered HTML.",,
Check technical access,"Review robots.txt and CDN bot controls for the crawlers you intend to allow.",,
Check technical access,"Check that important pages are fast and reachable without authentication.",,
Clarify the brand entity,"Use one company name, canonical domain, and category description.",,
Clarify the brand entity,"Keep product vocabulary, pricing facts, and audience descriptions consistent.",,
Clarify the brand entity,"Align official profiles and important directory listings.",,
Clarify the brand entity,"Correct outdated or conflicting company information.",,
Audit answers and evidence,"Map pages to discovery, comparison, implementation, risk, pricing, and alternative questions.",,
Audit answers and evidence,"Lead answer-focused sections with a direct response before supporting detail.",,
Audit answers and evidence,"Add relevant examples, methods, source links, dates, and limitations.",,
Audit answers and evidence,"Identify generic pages that offer no original evidence or useful distinction.",,
Review off-site corroboration,"Audit important profiles, reviews, expert references, and category roundups.",,
Review off-site corroboration,"Find unlinked brand mentions and confirm that linked mentions use the canonical URL.",,
Review off-site corroboration,"Note recurring third-party domains cited in answers where the brand is absent.",,
Review off-site corroboration,"Prioritize accurate, relevant listings with real editorial or user value.",,
Measure and plan the rerun,"Record mentions, prominence, competitor share of voice, owned citations, and sentiment separately.",,
Measure and plan the rerun,"Track provider coverage and preserve the answers and sources behind each metric.",,
Measure and plan the rerun,"Document exclusions instead of counting failed or ungrounded answers as misses.",,
Measure and plan the rerun,"Rerun the same frozen questions after meaningful changes become retrievable.",,
